"ANID","Alternate ID","Chem Group","Sample Type","Investigator Name","Institution","Site Name","Site State","Site Country","Site Latitude","Site Longitude","Source Name","Source State","Source Country","Source/Excavator/Museum","Period","Artifact Date","Comments","Analytical History","Long RDF","Long Date","Short RDF","Short Date","Spare_ID","Ba","La","Lu","Nd","Sm","U","Yb","Ce","Co","Cs","Eu","Fe","Hf","Rb","Sb","Sc","Sr","Ta","Tb","Th","Zn","Zr","Br","Al","Cl","Dy","K","Mn","Na","NKT_edits"
"BAT203","BAT203","LM2-CHL","source","Giesso, Martin","Northeastern Illinois University","El Batro","Mendoza","Argentina",,,"El Batro","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"BAT203",675.74,31.0498,0.3364,19.5976,4.2041,5.6372,2.2299,55.3301,0.2487,5.5481,0.5443,6434.8,4.3152,170.88,0.3474,2.1882,76.48,1.0144,0.3941,22.1337,26.82,179.15,4.203,71354.4,795.2,2.6149,34869.0,508.77,32654.1,
"BATA01","BATA01","LM2-CHL","source","Giesso, Martin","Northeastern Illinois University","El Batro","Mendoza","Argentina",,,"El Batro","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"BATA01",660.09,30.5718,0.3148,18.6753,3.7412,6.2720,1.8930,54.6682,0.2568,5.4571,0.5496,6361.6,4.2540,168.46,0.3334,2.1664,87.86,0.9957,0.3983,21.9011,25.91,172.59,4.130,68311.8,703.8,2.6538,33053.8,495.90,31387.9,
"BATA02","BATA02","LM2-CHL","source","Giesso, Martin","Northeastern Illinois University","El Batro","Mendoza","Argentina",,,"El Batro","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"BATA02",668.70,30.9985,0.3160,19.2994,3.8296,5.8792,2.1972,55.2631,0.2598,5.4542,0.5590,6598.9,4.5541,177.01,0.3243,2.1717,89.93,0.9974,0.4019,21.9433,27.03,191.04,4.873,67689.2,725.7,2.3098,31736.7,514.38,35260.2,
"BATA03","BATA03","LM2-CHL","source","Giesso, Martin","Northeastern Illinois University","El Batro","Mendoza","Argentina",,,"El Batro","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"BATA03",641.63,30.8711,0.3312,20.4303,4.0401,5.9213,1.9072,55.1401,0.2527,5.5305,0.5501,6446.1,4.3235,170.83,0.3310,2.1928,81.72,0.9971,0.3863,22.1631,26.26,172.11,4.136,68962.3,746.0,2.7638,34404.5,507.94,32336.8,
"BATA04","BATA04","LM2-CHL","source","Giesso, Martin","Northeastern Illinois University","El Batro","Mendoza","Argentina",,,"El Batro","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"BATA04",607.32,31.2942,0.3293,22.9235,4.0470,6.2719,1.9155,55.6510,0.2494,5.5826,0.5538,6516.5,4.4095,181.92,0.3449,2.2004,88.97,1.0170,0.3962,22.2776,30.35,172.68,5.197,72153.0,725.7,2.4867,43996.5,508.73,29644.0,
"BATB01","BATB01","LM2-CHL","source","Giesso, Martin","Northeastern Illinois University","El Batro","Mendoza","Argentina",,,"El Batro","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"BATB01",663.00,31.0981,0.3260,22.5632,4.0422,6.2780,2.0475,55.6828,0.2560,5.5684,0.5515,6539.4,4.4054,170.99,0.3336,2.1923,81.66,1.0019,0.3822,22.2295,25.81,173.29,3.776,64553.1,729.9,2.5424,37405.3,502.02,32314.8,
"BATB02","BATB02","LM2-CHL","source","Giesso, Martin","Northeastern Illinois University","El Batro","Mendoza","Argentina",,,"El Batro","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"BATB02",671.09,30.8935,0.3342,20.9628,4.0088,6.2734,1.8187,54.9013,0.2585,5.5259,0.5411,6456.9,4.3010,170.60,0.3288,2.1960,75.95,1.0177,0.3937,22.1561,26.48,175.64,4.141,68779.5,716.8,2.3987,36384.8,502.60,32541.4,
"CHN001","CHN001","OUTLIER","source","Giesso, Martin","Northeastern Illinois University","Cerro Huenul","Neuquén","Argentina",-36.9542,-69.7986,"OUTLIER from Cerro Huenul source","Neuquén","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","EAS4",9-Nov-03,"MAC2-S",7-Nov-03,"CHN001",676.90,14.6267,0.2016,10.2087,2.2797,3.7982,1.4336,28.9298,0.3108,4.2632,0.4195,5708.9,2.5769,98.26,0.1442,1.6176,150.66,1.2342,0.3031,7.7547,29.63,103.94,0.000,72931.9,239.8,1.4986,28974.3,713.71,33027.4,
"CHN002","CHN002","CHN-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Huenul","Neuquén","Argentina",-36.9542,-69.7986,"Cerro Huenul","Neuquén","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","EAS4",9-Nov-03,"MAC2-S",7-Nov-03,"CHN002",684.80,17.1787,0.2151,11.4833,2.4414,4.0510,1.4224,32.9767,0.2305,4.2624,0.3945,5154.3,2.4634,104.13,0.1423,1.6101,131.46,1.2222,0.3093,9.2004,29.76,95.38,0.000,73225.8,330.0,1.6931,32077.3,633.13,32476.9,
"CHN003","CHN003","CHN-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Huenul","Neuquén","Argentina",-36.9542,-69.7986,"Cerro Huenul","Neuquén","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","EAS4",9-Nov-03,"MAC2-S",7-Nov-03,"CHN003",670.50,17.1524,0.2065,11.8331,2.3886,4.6663,1.4271,32.8240,0.2315,4.2539,0.3910,5172.2,2.4504,105.14,0.1488,1.6214,129.65,1.2363,0.2969,9.1999,30.41,91.86,0.000,70692.7,344.5,1.5253,36727.4,694.59,32622.0,
"CHN004","CHN004","CHN-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Huenul","Neuquén","Argentina",-36.9542,-69.7986,"Cerro Huenul","Neuquén","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","EAS4",9-Nov-03,"MAC2-S",7-Nov-03,"CHN004",690.50,17.0845,0.2164,11.7556,2.3917,4.2931,1.3966,32.7199,0.2239,4.2161,0.3922,5128.0,2.4538,104.54,0.1446,1.6106,127.06,1.2393,0.3169,9.1429,29.95,95.81,0.000,69385.4,357.1,1.4277,32789.6,681.85,32246.2,
"CHN005","CHN005","CHN-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Huenul","Neuquén","Argentina",-36.9542,-69.7986,"Cerro Huenul","Neuquén","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","EAS4",9-Nov-03,"MAC2-S",7-Nov-03,"CHN005",709.90,16.9251,0.2099,10.1184,2.3492,3.5409,1.3870,32.2778,0.2295,4.2333,0.3897,5152.4,2.4381,104.53,0.1597,1.6027,115.69,1.2103,0.3109,9.0576,29.21,95.79,0.000,69840.5,317.6,1.4546,31205.6,669.54,31609.4,
"CHN006","CHN006","CHN-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Huenul","Neuquén","Argentina",-36.9542,-69.7986,"Cerro Huenul","Neuquén","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","EAS4",9-Nov-03,"MAC2-S",7-Nov-03,"CHN006",690.70,17.0417,0.2149,11.7455,2.4003,4.4561,1.4228,32.8398,0.2389,4.2865,0.3891,5166.6,2.4541,103.93,0.1630,1.6202,120.64,1.2275,0.3159,9.1459,28.50,91.87,0.000,71862.1,241.8,1.6371,29455.2,666.37,31773.8,
"CHN007","CHN007","CHN-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Huenul","Neuquén","Argentina",-36.9542,-69.7986,"Cerro Huenul","Neuquén","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","EAS4",9-Nov-03,"MAC2-S",7-Nov-03,"CHN007",719.10,17.5365,0.2250,13.0353,2.4959,4.5909,1.4668,33.9815,0.2425,4.3884,0.4013,5364.2,2.5264,108.21,0.1573,1.6762,146.50,1.2750,0.3093,9.4393,30.23,100.35,0.000,62208.3,319.2,1.3859,30691.0,650.05,30726.9,
"COQU01","COQU01","CQM-ARG","source","Giesso, Martin","Northeastern Illinois University","Coche Quemado","Mendoza","Argentina",-36.1870,-69.6798,"Coche Quemado","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"COQU01",605.64,21.7388,0.2477,14.3363,3.2543,2.6556,1.6820,41.9800,0.2138,4.0308,0.6696,7535.8,3.5049,104.90,0.6394,2.2878,207.48,0.6503,0.3710,8.7582,36.31,129.88,0.000,73481.9,203.3,1.9693,24081.0,913.88,35033.5,
"COQU02","COQU02","CQM-ARG","source","Giesso, Martin","Northeastern Illinois University","Coche Quemado","Mendoza","Argentina",-36.1870,-69.6798,"Coche Quemado","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"COQU02",605.27,21.8681,0.2564,15.5032,3.4831,2.6543,1.8924,42.8900,0.2015,4.0890,0.6723,7600.3,3.5710,104.81,0.6557,2.4999,214.54,0.6522,0.4145,8.8982,36.39,130.40,0.993,77860.2,430.7,2.0926,25070.5,933.62,35802.5,
"COQU03","COQU03","CQM-ARG","source","Giesso, Martin","Northeastern Illinois University","Coche Quemado","Mendoza","Argentina",-36.1870,-69.6798,"Coche Quemado","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"COQU03",591.65,22.0165,0.2671,14.2387,3.5186,2.8942,1.7205,43.0000,0.2449,4.0850,0.6747,7543.8,3.4406,105.67,0.6243,2.3155,194.21,0.6554,0.3939,8.9069,36.05,126.60,1.223,70238.7,218.0,2.5953,27983.7,907.57,34551.9,
"COQU04","COQU04","CQM-ARG","source","Giesso, Martin","Northeastern Illinois University","Coche Quemado","Mendoza","Argentina",-36.1870,-69.6798,"Coche Quemado","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"COQU04",566.95,21.8701,0.2807,15.6741,3.5094,2.6893,1.8226,42.8700,0.2088,4.0619,0.6774,7602.0,3.5837,104.74,0.6420,2.4999,208.14,0.6448,0.4045,8.8743,36.73,122.74,1.137,70586.7,240.2,2.6054,25348.6,906.33,34779.9,
"COQU05","COQU05","CQM-ARG","source","Giesso, Martin","Northeastern Illinois University","Coche Quemado","Mendoza","Argentina",-36.1870,-69.6798,"Coche Quemado","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"COQU05",595.17,22.1411,0.2592,14.6506,3.4552,2.7278,1.7149,43.0600,0.2133,4.0867,0.6769,7551.7,3.5715,105.88,0.6497,2.3365,183.80,0.6469,0.3796,8.8973,36.17,121.16,0.000,75756.5,442.7,2.5072,25265.6,944.94,36296.8,
"COQU06","COQU06","CQM-ARG","source","Giesso, Martin","Northeastern Illinois University","Coche Quemado","Mendoza","Argentina",-36.1870,-69.6798,"Coche Quemado","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"COQU06",586.67,21.2416,0.2509,15.9657,3.3320,2.7076,1.5698,41.4700,0.2046,4.0448,0.6510,7189.6,3.3646,104.49,0.6359,2.2540,183.77,0.6325,0.4197,8.7020,35.49,124.16,0.847,77544.3,436.5,1.8679,25276.3,898.66,34617.0,
"COQU07","COQU07","CQM-ARG","source","Giesso, Martin","Northeastern Illinois University","Coche Quemado","Mendoza","Argentina",-36.1870,-69.6798,"Coche Quemado","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"COQU07",569.17,21.4921,0.2545,17.6623,3.3927,2.6186,1.6637,42.1100,0.1972,4.0274,0.6619,7386.4,3.4185,105.11,0.6381,2.2689,207.82,0.6475,0.3822,8.7779,36.28,124.97,1.501,74303.2,231.9,2.0897,23302.6,927.08,35429.3,
"CSPA03","LSM-3","PDA3-ARG","source","Stern, Charles","University of Colorado","Lago San Martin","Santa Cruz","Argentina",,,"Pampa del Asador-3","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA03",593.80,43.2973,0.5356,25.7546,6.0669,5.9275,3.2295,81.8786,0.4865,5.7975,0.7059,12918.2,7.7324,173.67,0.2435,4.8825,57.53,2.3567,0.7938,20.5645,61.36,271.51,0.000,71882.5,689.4,5.0601,40602.4,394.37,34183.5,
"CSPA04","MS-1","C4","source","Stern, Charles","University of Colorado","Meseta de Somuncura","Rio Negro","Argentina",-41.5000,-67.2500,"Telsen/Sierra Chata","Rio Negro","Argentina","Stern, Charles",,,"high Uranium - fission product correction performed","MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA04",0.00,177.6419,3.0742,136.2758,35.3614,21.9517,16.9145,396.5131,0.0000,8.4559,2.7288,23256.7,75.0721,604.90,1.0024,0.2299,0.00,31.6020,6.2733,65.4502,478.08,2322.72,0.000,56955.4,1170.3,40.6202,35693.2,1002.99,50798.8,
"CSPA05","MS-5","C5","source","Stern, Charles","University of Colorado","Meseta de Somuncura","Rio Negro","Argentina",-41.5000,-67.2500,"Salamanca","Rio Negro","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA05",38.20,79.7134,0.8212,59.0477,11.8881,4.1819,4.6114,163.7716,0.0821,4.4176,0.1038,12841.4,14.0120,290.21,0.2652,1.0585,0.00,8.7705,1.7377,24.2139,101.57,324.43,0.000,62538.8,1310.5,9.9661,43184.4,361.75,32146.1,
"CSPA06","MS-6C","C6","source","Stern, Charles","University of Colorado","Meseta de Somuncura","Rio Negro","Argentina",-41.5000,-67.2500,"Somuncura","Rio Negro","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA06",57.20,48.5214,1.0742,44.2472,11.9845,6.2765,6.2436,109.5699,0.0616,8.7592,0.0839,10625.4,13.3446,474.56,0.4659,0.4739,0.00,14.9311,2.0554,34.7282,151.14,275.99,0.000,64389.4,1744.6,13.9371,36597.0,334.58,33655.9,
"CSPA07","PM96-95","PDA2-ARG","source","Stern, Charles","University of Colorado","Meseta Central","Santa Cruz","Argentina",-47.8833,-71.3167,"Pampa del Asador-2","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA07",33.30,23.8927,0.7505,26.7611,7.8540,6.3030,4.6286,54.7730,0.0374,12.8700,0.1009,8773.8,6.2802,237.70,0.3212,9.4967,0.00,2.5185,1.3923,19.0194,93.51,156.17,0.000,63088.5,606.4,9.1481,40784.5,207.63,28747.0,
"CSPA08","PM- Bosque","C7","source","Stern, Charles","University of Colorado","Meseta Central","Santa Cruz","Argentina",-47.8833,-71.3167,"none","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA08",1913.70,66.5092,0.9185,53.6172,11.3988,3.0094,6.2707,107.1226,0.2086,8.0563,1.6399,8528.5,8.1805,160.78,0.1478,8.4320,44.17,0.7731,1.7715,13.7116,97.26,274.24,0.000,60190.5,689.7,8.4674,31075.9,416.07,27689.7,"copied Lat/Long from other Stern source coords. All others reference same coords"
"CSPA09","AS-1A","C10","source","Stern, Charles","University of Colorado","Pampa la Chispa","Santa Cruz","Argentina",-47.8833,-71.3167,,"Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA09",488.40,42.0758,0.5178,27.3776,5.8309,5.4865,3.0973,79.8561,0.3051,6.6722,0.4689,10125.5,6.0821,192.33,0.3081,4.3538,0.00,2.4619,0.7877,22.9242,52.10,224.81,0.000,72120.5,765.3,4.9409,42789.2,308.15,31538.5,"Copied Lat/Long from other Stern source coords. All others reference same coords"
"CSPA10","AS-1B","PDA2-ARG","source","Stern, Charles","University of Colorado","Pampa la Chispa","Santa Cruz","Argentina",-47.8833,-71.3167,"Pampa del Asador-2","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA10",0.00,23.6796,0.7418,24.1895,7.8178,6.3992,4.6889,54.9845,0.0542,13.0467,0.0874,8877.9,6.3308,241.01,0.3260,9.5876,0.00,2.5788,1.3650,19.2966,68.17,149.09,0.000,66414.4,607.7,9.0707,41877.3,212.86,28298.6,"Copied Lat/Long from other Stern source coords. All others reference same coords"
"CSPA11","AS-1C","PDA3-ARG","source","Stern, Charles","University of Colorado","Pampa la Chispa","Santa Cruz","Argentina",-47.8833,-71.3167,"Pampa del Asador-3","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA11",533.00,42.7640,0.5242,27.3648,5.9136,5.5261,3.0507,81.1313,0.4823,5.7178,0.7003,12748.2,7.6071,171.32,0.2448,4.8383,78.95,2.3534,0.7985,20.4854,56.47,264.70,0.000,74471.0,663.6,5.1319,39876.8,394.12,34615.8,"Copied Lat/Long from other Stern source coords. All others reference same coords"
"CSPA12","PLC-96A","PDA2-ARG","source","Stern, Charles","University of Colorado","Pampa la Chispa","Santa Cruz","Argentina",-47.8833,-71.3167,"Pampa del Asador-2","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA12",18.90,23.1425,0.7416,24.8678,7.7032,5.4735,4.6663,55.0252,0.0443,12.8698,0.0913,8825.2,6.2548,240.99,0.3204,9.4912,0.00,2.5871,1.3431,19.1215,68.59,132.74,0.000,65928.3,571.6,8.9283,40829.4,211.98,29703.7,"Copied Lat/Long from other Stern source coords. All others reference same coords"
"CSPA13","G-1","PDA1-ARG","source","Stern, Charles","University of Colorado","Pampa del Asador","Santa Cruz","Argentina",-47.8833,-71.3167,"Pampa del Asador-1","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA13",282.50,38.4910,0.5636,31.6208,6.6429,5.4093,3.3754,76.6108,0.2526,10.3613,0.2698,9949.6,5.6692,198.33,0.3511,7.3217,0.00,2.0552,0.9594,18.3902,56.45,158.84,0.000,70105.5,640.8,6.4079,42974.7,275.59,29769.6,
"CSPA14","G-3","PDA1-ARG","source","Stern, Charles","University of Colorado","Pampa del Asador","Santa Cruz","Argentina",-47.8833,-71.3167,"Pampa del Asador-1","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA14",249.30,38.1657,0.5615,26.5068,6.5837,4.9167,3.4413,76.5624,0.2621,10.4236,0.2765,9960.3,5.4391,199.81,0.3167,7.3206,0.00,2.0523,1.0152,18.4101,56.82,141.45,0.000,74370.4,616.4,6.7293,40885.0,281.47,30061.0,
"CSPA15","PDA-96A","PDA1-ARG","source","Stern, Charles","University of Colorado","Pampa del Asador","Santa Cruz","Argentina",-47.8833,-71.3167,"Pampa del Asador-1","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA15",308.00,37.9383,0.5512,27.3423,6.4701,4.4192,3.4608,75.7438,0.2462,10.3109,0.2805,9868.9,5.4944,196.98,0.3217,7.2427,35.75,2.0156,0.9950,18.1341,73.95,155.17,0.000,69102.5,705.2,5.7975,41206.2,279.53,29896.9,
"CSPA16","PDA-96B","PDA2-ARG","source","Stern, Charles","University of Colorado","Pampa del Asador","Santa Cruz","Argentina",-47.8833,-71.3167,"Pampa del Asador-2","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA16",50.60,23.2819,0.7284,24.1912,7.8044,5.3177,4.9525,54.2238,0.0405,12.8266,0.0927,8746.7,6.2068,239.51,0.3206,9.4640,0.00,2.5726,1.3814,19.0054,99.52,150.96,0.000,64528.3,590.8,8.7152,41776.1,209.70,29284.7,
"CSPA17","CP2-96B","PDA1-ARG","source","Stern, Charles","University of Colorado","Pampa del Asador","Santa Cruz","Argentina",-47.8833,-71.3167,"Pampa del Asador-1","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA17",251.00,38.5654,0.5316,25.5927,6.5421,4.2051,3.4100,77.1752,0.2501,10.4641,0.2842,10006.3,5.5595,200.61,0.3081,7.3743,43.64,2.0549,0.9369,18.5269,78.91,150.95,0.000,70056.4,686.7,6.0060,44512.6,279.59,29739.8,
"CSPA18","G-2A","PDA2-ARG","source","Stern, Charles","University of Colorado","Cerro Pampa","Santa Cruz","Argentina",,,"Pampa del Asador-2","Santa Cruz","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","MIX1",27-Sep-96,"BRZ2-S",20-Sep-96,"CSPA18",0.00,23.1332,0.7172,25.0675,7.6792,6.1462,4.6586,54.5167,0.0371,12.9020,0.0807,8765.9,6.1866,238.45,0.2623,9.4660,0.00,2.5515,1.3899,19.1055,68.34,167.19,0.000,63878.3,572.8,8.9947,39361.5,209.16,29506.1,
